id,calling_code,capital_city,code_2,code_3,continent_id,currency_id,flag,name
sy,963,大马士革,sy,syr,as,syp,🇸🇾,叙利亚
sz,268,姆巴巴内,sz,swz,af,szl,🇸🇿,斯威士兰
tc,1649,科伯恩城,tc,tca,na,usd,🇹🇨,特克斯和凯科斯群岛
td,235,恩贾梅纳,td,tcd,af,xaf,🇹🇩,乍得
tf,262,法兰西港,tf,atf,an,eur,🇹🇫,法属南部领地
tg,228,洛美,tg,tgo,af,xof,🇹🇬,多哥
th,66,曼谷,th,tha,as,thb,🇹🇭,泰国
tj,992,杜尚别,tj,tjk,as,tjs,🇹🇯,塔吉克斯坦
tk,690,,tk,tkl,oc,nzd,🇹🇰,托克劳
tl,670,帝力,tl,tls,oc,usd,🇹🇱,东帝汶
tm,993,阿什哈巴德,tm,tkm,as,tmt,🇹🇲,土库曼斯坦
tn,216,突尼斯,tn,tun,af,tnd,🇹🇳,突尼斯
to,676,努库阿洛法,to,ton,oc,top,🇹🇴,汤加
tr,90,安卡拉,tr,tur,as,try,🇹🇷,土耳其
tt,1868,西班牙港,tt,tto,na,ttd,🇹🇹,特立尼达和多巴哥
tv,688,富纳富提,tv,tuv,oc,aud,🇹🇻,图瓦卢
tw,886,台北,tw,twn,as,twd,🇹🇼,台湾
tz,255,多多马,tz,tza,af,tzs,🇹🇿,坦桑尼亚
ua,380,基辅,ua,ukr,eu,uah,🇺🇦,乌克兰
ug,256,坎帕拉,ug,uga,af,ugx,🇺🇬,乌干达
um,246,,um,umi,oc,usd,🇺🇲,美国本土外小岛屿
us,1,华盛顿,us,usa,na,usd,🇺🇸,美国
uy,598,蒙得维的亚,uy,ury,sa,uyu,🇺🇾,乌拉圭
uz,998,塔什干,uz,uzb,as,uzs,🇺🇿,乌兹别克斯坦
va,379,梵蒂冈城,va,vat,eu,eur,🇻🇦,梵蒂冈
vc,1784,金斯敦,vc,vct,na,xcd,🇻🇨,圣文森特和格林纳丁斯
ve,58,加拉加斯,ve,ven,sa,vef,🇻🇪,委内瑞拉
vg,1284,罗德城,vg,vgb,na,usd,🇻🇬,英属维尔京群岛
vi,1340,夏洛特阿马利亚,vi,vir,na,usd,🇻🇮,美属维尔京群岛
vn,84,河内,vn,vnm,as,vnd,🇻🇳,越南
vu,678,维拉港,vu,vut,oc,vuv,🇻🇺,瓦努阿图
wf,681,马塔乌图,wf,wlf,oc,xpf,🇼🇫,瓦利斯和富图纳
ws,685,阿皮亚,ws,wsm,oc,wst,🇼🇸,萨摩亚
xk,383,普里什蒂纳,xk,xkx,eu,eur,🇽🇰,科索沃
ye,967,萨那,ye,yem,as,yer,🇾🇪,也门
yt,262,马穆楚,yt,myt,af,eur,🇾🇹,马约特
za,27,比勒陀利亚,za,zaf,af,zar,🇿🇦,南非
zm,260,卢萨卡,zm,zmb,af,zmk,🇿🇲,赞比亚
zw,263,哈拉雷,zw,zwe,af,zwl,🇿🇼,津巴布韦
